"longitude","latitude","sq","cluster"
139.328868302916,35.3387116911932,566,4
139.617023848386,35.8590679126835,567,2
139.617900570741,36.0018565886782,568,2
139.352044322264,35.438180834171,569,4
139.345566956084,35.4120393126396,570,4
139.85381643302,35.6676752311328,571,8
139.714999466454,35.5733012045384,572,7
139.712783911152,35.817216190767,573,3
139.423931760144,35.4523977412845,574,4
139.625887529821,35.4553400990366,575,10
139.776538967894,35.9667091440218,576,2
139.641064678833,35.5628180501764,577,7
139.792636817012,35.8711635069599,578,2
139.806201750522,35.8246188113709,579,8
139.534824409594,35.5581062899159,580,9
139.650178831153,35.9555725503256,581,2
139.482170382504,35.9367673696299,582,1
139.799842314596,35.8032654685847,583,8
139.562248042669,35.802781140426,584,3
139.492046199024,35.7886865126895,585,1
139.65640282195,36.0718187650853,586,2
139.874137612012,35.7331691984458,587,8
139.615604105914,35.4025209939727,588,10
139.659600321257,35.5036901353874,589,7
139.863263541319,35.8157035344595,590,8
139.310341397777,35.6685850863655,591,9
139.551902031299,35.6333698322648,592,9
139.31198461122,35.4010283034281,593,4
139.703135486206,35.6708055348606,594,3
139.703654926665,35.660722447759,595,7
139.702982634316,35.7027726401226,596,3
139.72581482899,35.5564975785311,597,7
139.671281614223,35.5214311139498,598,7
139.468222194598,35.6985673589505,599,9
139.746931141015,35.8056953916049,600,8
139.533899419882,35.6145089434323,601,9
139.638779757506,35.5039432901512,602,7
139.751405896596,35.8049753637197,603,8
139.886507774561,35.7055550284404,604,8
139.418586361949,35.8485732608031,605,1
139.399344257363,35.8223699174621,606,1
139.733215166793,35.6997496963925,607,3
139.469344647868,35.453306707206,608,4
139.862982378443,35.6726791531862,609,8
139.702754409112,35.7597326019134,610,3
139.490507553215,35.7241906233104,611,9
139.424548122337,35.5059749843128,612,4
139.620096011966,35.9033750148693,613,2
139.646367378125,35.4900289506442,614,10
139.74399822203,35.7546613641534,615,8
139.564742847984,35.6223844042566,616,7
139.606265639171,35.5699907390651,617,7
139.683787864399,35.5210974579866,618,7
139.406438231014,35.7424650930213,619,1
139.966714123063,35.8659603729637,620,5
139.639268724117,35.5310188034044,621,7
139.512361217441,35.4747595633255,622,10
139.487875652647,35.5528350561507,623,9
139.677592482964,35.6605818453898,624,7
139.730113374727,35.7214128789406,625,3
139.601754144256,35.7286220916505,626,3
139.472610221369,35.4573376374081,627,4
139.532641393968,35.5595761232116,628,9
139.552550790211,35.639192005339,629,9
139.422478121406,35.5673633151793,630,9
139.900037199622,35.7975215727342,631,8
139.638069403744,35.6720218631235,632,3
139.845940192765,35.8803656285025,633,5
140.149649460499,35.9850812706583,634,5
139.525661088748,35.3516027587393,635,10
139.30027371005,35.4057243241306,636,4
139.617432362123,35.9148215720888,637,2
139.308846690124,35.3866642385365,638,4
139.87405140334,35.6684389439595,639,8
139.773324893349,35.6587518312928,640,8
139.688147095369,35.7074322334103,641,3
139.406493318671,35.9611681776728,642,1
139.672587620288,35.8266693158994,643,2
139.692016356491,35.6770985437287,644,3
139.660746681679,35.4909615609569,645,7
140.097214202576,35.6486932838809,646,6
139.511935293329,35.5805403044959,647,9
139.991291205428,35.710070195938,648,6
140.141469360542,35.9725350877426,649,5
139.741712891493,35.7724072302656,650,3
139.774151312078,35.7323166392687,651,8
139.954199530098,35.7143848289165,652,8
139.489917615877,35.6564251564228,653,9
139.692718357117,35.5358733756759,654,7
140.087709029528,35.7329586903106,655,6
139.641342127677,35.8410189216933,656,2
139.475710343888,35.35229376438,657,4
139.489234741083,35.6704085670783,658,9
139.734975908647,35.5853800202115,659,7
139.717848185838,35.7474821866525,660,3
139.973816456834,35.7009280755206,661,6
139.808841259423,35.7526272795687,662,8
139.586820869776,35.6911651054697,663,3
139.680633157776,35.7496201303555,664,3
139.362077212252,35.7125421661694,665,9
139.325192643422,35.3901889283814,666,4
139.693418966957,35.5338133872461,667,7
139.486866636991,35.4725217647796,668,4
139.940033733914,35.7794573356589,669,5
139.848394315643,35.7637585836888,670,8
139.850273717893,35.7351351039764,671,8
139.504463101353,35.3159091046447,672,10
139.728002069334,35.8270180724999,673,2
139.622234274615,35.3351158429328,674,10
139.98042830936,35.7074100346254,675,6
139.473163364633,35.3281497035241,676,4
139.800299883321,35.7202557753408,677,8
139.481768972344,35.7871723431552,678,1
139.645792378249,35.7091142735263,679,3
139.688476034663,35.8490684497056,680,2
139.735123767904,35.5282092754423,681,7
139.596136812603,35.3707217142774,682,10
139.697111161323,35.6149042695251,683,7
139.777437872789,35.6546182037292,684,8
139.91063962915,35.7345071417244,685,8
139.727193954939,35.9668884135834,686,2
139.843251834053,35.7331500625659,687,8
139.693740960069,35.696939508071,688,3
139.88302633903,35.7447397411889,689,8
139.717881373275,35.646459167653,690,7
139.626967191966,35.6928612548991,691,3
139.550486450589,35.6190355548231,692,9
139.650515691674,35.8655654645007,693,2
139.9288377178,35.6444850243317,694,8
139.814801124033,35.7238695250872,695,8
139.922782561441,35.6883186670242,696,8
139.370393625375,35.710927351646,697,9
140.075965295601,35.6893576075152,698,6
139.563889217795,35.579746659124,699,7
139.667395201389,35.4997297138338,700,7
139.556443348112,35.3952762535544,701,10
139.705669258923,35.5514026385956,702,7
139.563125334945,35.9669075852128,703,2
139.431036827283,35.8500526179467,704,1
139.693804377519,35.8186095400224,705,3
139.48064288851,35.6710286265075,706,9
139.605841754148,35.7861086718838,707,3
139.638139124226,35.3769086398197,708,10
139.705636789026,35.5349035050027,709,7
139.579878018525,35.6235988511882,710,7
139.730092384317,35.5718263252894,711,7
139.505875013279,35.7807889065677,712,1
139.596447795134,35.6743053030699,713,3
139.604511549861,35.9445910796782,714,2
139.63096786136,35.5957318159503,715,7
139.706341946809,35.6202949572543,716,7
140.172110318545,36.0677720852812,717,5
139.389261971855,35.9502941340099,718,1
139.316892219599,35.352027751659,719,4
139.687280412571,35.5796298670217,720,7
139.801836698435,35.8133856725635,721,8
139.604479378803,36.0654074359297,722,2
140.038391884898,35.6723583398414,723,6
139.624398204128,35.9743455482897,724,2
139.680378948685,35.7548561637886,725,3
139.524362008533,35.572120496171,726,9
140.039417666962,35.6836777859861,727,6
140.090357330324,35.664408615806,728,6
140.032119849118,35.7479594211504,729,6
139.6374855045,35.8808215356508,730,2
139.773317935539,35.8976404429708,731,2
139.503112284999,35.5846655820884,732,9
139.394239709216,35.5661192574933,733,9
139.621122730025,35.582790706382,734,7
139.43742822354,35.5298831712097,735,9
139.971117811024,35.819357479973,736,5
139.597681310397,35.4554860369534,737,10
139.550735281543,35.3093018365638,738,10
